year,TOPEX/Poseidon
1992.9614,-16.11
1992.9865,-17.81
1993.0123,-14.71
1993.0407,-19.71
1993.066,-25.11
1993.0974,-29.21
1993.1206,-27.51
1993.1493,-21.71
1993.1765,-18.81
1993.2037,-19.31
1993.2307,-22.81
1993.2851,-26.11
1993.3123,-19.91
1993.3394,-19.71
1993.3665,-17.01
1993.3937,-21.91
1993.4208,-26.61
1993.448,-23.61
1993.4751,-18.81
1993.5021,-15.51
1993.5294,-16.11
1993.5837,-22.91
1993.6117,-18.71
1993.6381,-13.31
1993.6652,-8.21
1993.6923,-8.91
1993.7189,-14.01
1993.7466,-13.41
1993.7738,-7.91
1993.8009,-8.21
1993.8553,-5.31
1993.8824,-11.91
1993.9098,-13.51
1993.9367,-12.31
1993.9639,-6.01
1993.9907,-5.41
1994.0181,-15.31
1994.0452,-16.31
1994.0723,-18.71
1994.0995,-21.01
1994.1267,-19.91
1994.1539,-13.91
1994.1809,-13.41
1994.2353,-18.51
1994.2624,-16.31
1994.2896,-14.21
1994.3168,-11.71
1994.3439,-15.51
1994.371,-20.41
1994.3982,-23.51
1994.4253,-20.61
1994.4524,-14.21
1994.5067,-20.31
1994.5339,-18.61
1994.561,-20.61
1994.5882,-15.71
1994.6154,-11.81
1994.6425,-7.41
1994.6697,-8.61
1994.6968,-9.61
1994.7239,-11.01
1994.751,-8.81
1994.7782,-6.41
1994.8054,0.09
1994.8325,-1.61
1994.8868,-10.61
1994.914,-11.91
1994.9412,-3.31
1994.9684,-3.71
1994.9955,-8.21
1995.0226,-12.31
1995.0497,-15.91
1995.0769,-8.51
1995.104,-9.81
1995.1312,-11.61
1995.1583,-12.31
1995.2127,-11.31
1995.2398,-16.71
1995.2669,-11.21
1995.2941,-9.11
1995.3212,-13.11
1995.3755,-17.91
1995.4028,-14.81
1995.4298,-9.31
1995.4569,-12.41
1995.4841,-17.71
1995.5384,-20.61
1995.5655,-15.51
1995.5927,-11.61
1995.6199,-7.31
1995.647,-10.91
1995.674,-10.71
1995.7013,-6.41
1995.7285,1.99
1995.7556,-0.01
1995.7827,-1.01
1995.8371,-5.31
1995.8643,-5.01
1995.8899,-1.61
1995.9456,-1.31
1995.9728,-3.31
1995.9998,-10.21
1996.027,-13.21
1996.0533,-11.71
1996.0814,-7.41
1996.1084,-4.21
1996.1631,-11.31
1996.1899,-14.51
1996.2171,-11.21
1996.2442,-6.91
1996.2714,-10.11
1996.2985,-14.61
1996.3257,-14.91
1996.3529,-12.51
1996.38,-9.91
1996.4071,-7.91
1996.4342,-10.71
1996.4886,-15.91
1996.5157,-13.21
1996.5429,-7.81
1996.57,-2.71
1996.5972,-4.91
1996.6244,-9.91
1996.6515,-9.91
1996.6786,-10.11
1996.7053,-2.71
1996.7335,4.79
1996.76,6.29
1996.8144,12.89
1996.8415,12.79
1996.8687,8.99
1996.8959,1.79
1996.923,-1.81
1996.9501,-5.91
1996.977,-13.21
1997.0044,-10.41
1997.0316,-5.51
1997.0587,-6.71
1997.0858,-8.01
1997.1402,-12.71
1997.1673,-10.71
1997.1944,-9.11
1997.2216,-7.01
1997.2487,-8.81
1997.2759,-12.91
1997.303,-15.61
1997.3302,-11.61
1997.3573,-6.31
1997.3844,-8.71
1997.4116,-8.61
1997.4659,-15.31
1997.4928,-9.81
